Genome_Id final names,Functional_group,Domain,Taxa_Super_Groups,Best_taxonomy_KINGDON,Best_taxonomy_PHYLUM,Best_taxonomy_CLASS
TARA_ANE_2018_MAG_00101,Group_04,Eukarya,Archaeplastida,Plantae,Chlorophyta,Mamiellophyceae
TARA_AON_82_MAG_00012,Group_04,Eukarya,Archaeplastida,Plantae,Chlorophyta,Mamiellophyceae
TARA_AON_82_MAG_00097,Group_04,Eukarya,Archaeplastida,Plantae,Chlorophyta,Mamiellophyceae
TARA_AON_82_MAG_00118,Group_04,Eukarya,Archaeplastida,Plantae,Chlorophyta,Mamiellophyceae
TARA_AON_82_MAG_00125,Group_05,Eukarya,Stramenopiles,Chromista,Heterokontophyta,Oomycota
TARA_AON_82_MAG_00137,Group_05,Eukarya,Stramenopiles,Chromista,MAST-4,New_MAST-4
TARA_AON_82_MAG_00159,Group_04,Eukarya,Stramenopiles,Chromista,Bacillariophyta,Bacillariophyceae
TARA_AON_82_MAG_00160,Group_05,Eukarya,Stramenopiles,Chromista,MAST-4,New_MAST-4
TARA_AON_82_MAG_00189,Group_04,Eukarya,Archaeplastida,Plantae,Chlorophyta,Pyramimonadophyceae
TARA_AON_82_MAG_00198,Group_04,Eukarya,Archaeplastida,Plantae,Chlorophyta,Trebouxiophyceae
TARA_AON_82_MAG_00229,Group_04,Eukarya,Archaeplastida,Plantae,Chlorophyta,Chloropicophyceae
TARA_AON_82_MAG_00271,Group_04,Eukarya,Archaeplastida,Plantae,Chlorophyta,Mamiellophyceae
TARA_AON_82_MAG_00272,Group_05,Eukarya,Stramenopiles,Chromista,MAST-4,New_MAST-4
TARA_AON_82_MAG_00274,Group_06,Eukarya,Stramenopiles,Chromista,Ochrophyta,Pelagophyceae
TARA_AON_82_MAG_00275,Group_05,Eukarya,Stramenopiles,Chromista,MAST-4,New_MAST-4
TARA_AON_82_MAG_00276,Group_05,Eukarya,Stramenopiles,Chromista,MAST-4,New_MAST-4
TARA_AON_82_MAG_00278,Group_06,Eukarya,Haptista,Chromista,Haptophyta,Prymnesiophyceae
TARA_AON_82_MAG_00280,Group_05,Eukarya,Stramenopiles,Chromista,Ochrophyta,Chrysophyceae
TARA_AON_82_MAG_00281,Group_05,Eukarya,Stramenopiles,Chromista,MAST-4,New_MAST-4
TARA_AON_82_MAG_00283,Group_06,Eukarya,Haptista,Chromista,Haptophyta,Prymnesiophyceae
TARA_AON_82_MAG_00284,Group_02,Eukarya,Alveolata,Chromista,Ciliophora,NA
TARA_AON_82_MAG_00285,Group_01,Eukarya,Opisthokonta,Animalia,Arthropoda,Hexanauplia
TARA_AON_82_MAG_00286,Group_01,Eukarya,Opisthokonta,Animalia,Arthropoda,Hexanauplia
TARA_AON_82_MAG_00290,Group_01,Eukarya,Opisthokonta,Animalia,Arthropoda,Hexanauplia
TARA_AON_82_MAG_00292,Group_05,Eukarya,Stramenopiles,Chromista,Bigyra,Bikosea
TARA_AON_82_MAG_00295,Group_06,Eukarya,Stramenopiles,Chromista,Ochrophyta,Dictyochophyceae
TARA_AON_82_MAG_00297,Group_04,Eukarya,Archaeplastida,Plantae,Chlorophyta,Mamiellophyceae
TARA_AON_82_MAG_00298,Group_01,Eukarya,Opisthokonta,Animalia,Arthropoda,Hexanauplia
TARA_AON_82_MAG_00299,Group_06,Eukarya,Haptista,Chromista,Haptophyta,Prymnesiophyceae
TARA_AON_82_MAG_00300,Group_04,Eukarya,Archaeplastida,Plantae,Chlorophyta,Chloropicophyceae
TARA_AON_82_MAG_00301,Group_05,Eukarya,Stramenopiles,Chromista,Heterokontophyta,Oomycota
TARA_AON_82_MAG_00302,Group_06,Eukarya,Cryptista,Chromista,Cryptophyta,Cryptophyceae
TARA_AON_82_MAG_00303,Group_06,Eukarya,Cryptista,Chromista,Cryptophyta,Cryptophyceae
TARA_AON_82_MAG_00304,Group_05,Eukarya,Cryptista,Chromista,Sister_Cryptophyta,Sister_Cryptophyta
TARA_AON_82_MAG_00305,Group_01,Eukarya,Opisthokonta,Animalia,Arthropoda,Hexanauplia
TARA_AON_82_MAG_00306,Group_06,Eukarya,Cryptista,Chromista,Cryptophyta,Cryptophyceae
TARA_AON_82_MAG_00307,Group_05,Eukarya,Stramenopiles,Chromista,Bigyra,Bikosea
TARA_AON_82_MAG_00310,Group_05,Eukarya,Cryptista,Chromista,Sister_Cryptophyta,Sister_Cryptophyta
TARA_AON_82_MAG_00312,Group_01,Eukarya,Opisthokonta,Animalia,Arthropoda,Hexanauplia
TARA_AON_82_MAG_00313,Group_05,Eukarya,Stramenopiles,Chromista,New_Stramenopiles,New_Stramenopiles
TARA_AON_82_MAG_00314,Group_01,Eukarya,Opisthokonta,Animalia,Arthropoda,Hexanauplia
TARA_AON_82_MAG_00315,Group_06,Eukarya,Haptista,Chromista,Haptophyta,Prymnesiophyceae
TARA_AON_82_MAG_00316,Group_05,Eukarya,Cryptista,Chromista,Sister_Cryptophyta,Sister_Cryptophyta
TARA_AON_82_MAG_00317,Group_01,Eukarya,Opisthokonta,Animalia,Arthropoda,Hexanauplia
TARA_AON_82_MAG_00318,Group_06,Eukarya,Haptista,Chromista,Haptophyta,Prymnesiophyceae
TARA_AON_82_MAG_00319,Group_01,Eukarya,Opisthokonta,Animalia,Arthropoda,Hexanauplia
TARA_AON_82_MAG_00320,Group_03,Eukarya,Opisthokonta,Animalia,Chordata,Appendicularia
TARA_AON_82_MAG_00322,Group_01,Eukarya,Opisthokonta,Animalia,Arthropoda,Hexanauplia
TARA_AON_82_MAG_00323,Group_01,Eukarya,Opisthokonta,Animalia,Arthropoda,Hexanauplia
TARA_AON_82_MAG_00324,Group_01,Eukarya,Opisthokonta,Animalia,Arthropoda,Hexanauplia
TARA_AON_82_MAG_00325,Group_01,Eukarya,Opisthokonta,Animalia,Arthropoda,Hexanauplia
TARA_AON_82_MAG_00326,Group_01,Eukarya,Opisthokonta,Animalia,Arthropoda,Hexanauplia
TARA_AON_82_MAG_00327,Group_01,Eukarya,Opisthokonta,Animalia,Arthropoda,Hexanauplia
TARA_AON_82_MAG_00328,Group_01,Eukarya,Opisthokonta,Animalia,NA,NA
TARA_AON_82_MAG_00329,Group_01,Eukarya,Opisthokonta,Animalia,Arthropoda,Hexanauplia
TARA_AON_82_MAG_00332,Group_01,Eukarya,Opisthokonta,Animalia,Arthropoda,Hexanauplia
TARA_AON_82_MAG_00333,Group_01,Eukarya,Opisthokonta,Animalia,Arthropoda,Hexanauplia
TARA_AON_82_MAG_00334,Group_06,Eukarya,Stramenopiles,Chromista,Ochrophyta,Dictyochophyceae
TARA_AON_82_MAG_00336,Group_01,Eukarya,Opisthokonta,Animalia,Arthropoda,Hexanauplia
TARA_AON_82_MAG_00337,Group_06,Eukarya,Haptista,Chromista,Haptophyta,Prymnesiophyceae
TARA_AON_82_MAG_00338,Group_04,Eukarya,Stramenopiles,Chromista,Bacillariophyta,Mediophyceae
TARA_AON_82_MAG_00340,Group_04,Eukarya,Archaeplastida,Plantae,Chlorophyta,Palmophyllophyceae
TARA_AON_82_MAG_00341,Group_06,Eukarya,Haptista,Chromista,Haptophyta,Prymnesiophyceae
TARA_AON_82_MAG_00342,Group_01,Eukarya,Opisthokonta,Animalia,Arthropoda,Hexanauplia
TARA_AON_82_MAG_00343,Group_01,Eukarya,Opisthokonta,Animalia,Arthropoda,Hexanauplia
TARA_AON_82_MAG_00344,Group_01,Eukarya,Opisthokonta,Animalia,Arthropoda,Hexanauplia
TARA_AON_82_MAG_00345,Group_01,Eukarya,Opisthokonta,Animalia,Arthropoda,Hexanauplia
TARA_AON_82_MAG_00346,Group_01,Eukarya,Opisthokonta,Animalia,Arthropoda,Hexanauplia
TARA_AON_82_MAG_00347,Group_05,Eukarya,Cryptista,Chromista,Sister_Cryptophyta,Sister_Cryptophyta
TARA_AON_82_MAG_00348,Outlier,Eukarya,Opisthokonta,Animalia,NA,NA
TARA_AON_82_MAG_00349,Group_01,Eukarya,Opisthokonta,Animalia,Arthropoda,Hexanauplia
TARA_AON_82_MAG_00350,Group_01,Eukarya,Opisthokonta,Animalia,Arthropoda,Hexanauplia
TARA_AON_82_MAG_00351,Group_06,Eukarya,Haptista,Chromista,Haptophyta,Prymnesiophyceae
TARA_AON_82_MAG_00352,Group_01,Eukarya,Opisthokonta,Animalia,Arthropoda,Hexanauplia
TARA_AON_82_MAG_00353,Group_01,Eukarya,Opisthokonta,Animalia,Arthropoda,Hexanauplia
TARA_AON_82_MAG_00354,Group_06,Eukarya,Haptista,Chromista,Haptophyta,Prymnesiophyceae
TARA_AON_82_MAG_00355,Group_04,Eukarya,Alveolata,Chromista,Myzozoa,Myzozoa
TARA_AON_82_MAG_00356,Group_06,Eukarya,Haptista,Chromista,Haptophyta,Prymnesiophyceae
TARA_AON_82_MAG_00357,Group_03,Eukarya,Opisthokonta,Animalia,Chordata,Appendicularia
TARA_AOS_82_MAG_00032,Group_04,Eukarya,Archaeplastida,Plantae,Chlorophyta,Chloropicophyceae
TARA_AOS_82_MAG_00045,Group_06,Eukarya,Stramenopiles,Chromista,Ochrophyta,Pelagophyceae
TARA_AOS_82_MAG_00050,Group_04,Eukarya,Stramenopiles,Chromista,Bacillariophyta,Mediophyceae
TARA_AOS_82_MAG_00129,Group_06,Eukarya,Stramenopiles,Chromista,Ochrophyta,Pelagophyceae
TARA_AOS_82_MAG_00131,Group_04,Eukarya,Archaeplastida,Plantae,Chlorophyta,Chloropicophyceae
TARA_AOS_82_MAG_00132,Group_06,Eukarya,Haptista,Chromista,Haptophyta,NA
TARA_AOS_82_MAG_00135,Group_05,Eukarya,Stramenopiles,Chromista,MAST-4,New_MAST-4
TARA_AOS_82_MAG_00137,Group_04,Eukarya,Archaeplastida,Plantae,Chlorophyta,Mamiellophyceae
TARA_AOS_82_MAG_00140,Group_06,Eukarya,Haptista,Chromista,Haptophyta,Prymnesiophyceae
TARA_AOS_82_MAG_00141,Group_06,Eukarya,Haptista,Chromista,Haptophyta,Prymnesiophyceae
TARA_AOS_82_MAG_00142,Group_06,Eukarya,Haptista,Chromista,Haptophyta,Prymnesiophyceae
TARA_AOS_82_MAG_00144,Group_06,Eukarya,Haptista,Chromista,Haptophyta,Prymnesiophyceae
TARA_AOS_82_MAG_00145,Group_06,Eukarya,Stramenopiles,Chromista,Heterokontophyta,Oomycota
TARA_AOS_82_MAG_00147,Group_04,Eukarya,Stramenopiles,Chromista,Bacillariophyta,Mediophyceae
TARA_AOS_82_MAG_00149,Group_06,Eukarya,Haptista,Chromista,Haptophyta,Prymnesiophyceae
TARA_AOS_82_MAG_00150,Group_05,Eukarya,Stramenopiles,Chromista,MAST-4,New_MAST-4
TARA_AOS_82_MAG_00154,Group_06,Eukarya,Haptista,Chromista,Haptophyta,Prymnesiophyceae
TARA_AOS_82_MAG_00158,Group_06,Eukarya,Haptista,Chromista,Haptophyta,Prymnesiophyceae
TARA_AOS_82_MAG_00159,Group_03,Eukarya,Opisthokonta,Animalia,Chordata,NA
TARA_AOS_82_MAG_00160,Group_01,Eukarya,Opisthokonta,Animalia,Arthropoda,Hexanauplia
TARA_AOS_82_MAG_00161,Group_06,Eukarya,Haptista,Chromista,Haptophyta,Prymnesiophyceae
TARA_AOS_82_MAG_00162,Group_06,Eukarya,Stramenopiles,Chromista,Ochrophyta,Pelagophyceae
TARA_AOS_82_MAG_00163,Group_05,Eukarya,Cryptista,Chromista,Sister_Cryptophyta,Sister_Cryptophyta
TARA_AOS_82_MAG_00165,Group_01,Eukarya,Opisthokonta,Animalia,Arthropoda,Hexanauplia
TARA_AOS_82_MAG_00167,Group_03,Eukarya,Opisthokonta,Animalia,Chordata,Appendicularia
TARA_AOS_82_MAG_00168,Group_01,Eukarya,Opisthokonta,Animalia,Arthropoda,Hexanauplia
TARA_AOS_82_MAG_00169,Group_01,Eukarya,Opisthokonta,Animalia,Arthropoda,Hexanauplia
TARA_AOS_82_MAG_00170,Group_03,Eukarya,Opisthokonta,Animalia,Chordata,NA
TARA_AOS_82_MAG_00171,Group_01,Eukarya,Opisthokonta,Animalia,Arthropoda,Hexanauplia
TARA_AOS_82_MAG_00172,Group_04,Eukarya,Alveolata,Chromista,Myzozoa,Myzozoa
TARA_AOS_82_MAG_00173,Group_01,Eukarya,Opisthokonta,Animalia,Arthropoda,Crustacea
TARA_AOS_82_MAG_00174,Group_01,Eukarya,Opisthokonta,Animalia,Arthropoda,Hexanauplia
TARA_AOS_82_MAG_00175,Group_01,Eukarya,Opisthokonta,Animalia,Arthropoda,Hexanauplia
TARA_AOS_82_MAG_00176,Group_04,Eukarya,Stramenopiles,Chromista,Bacillariophyta,Bacillariophyceae
TARA_AOS_82_MAG_00177,Group_03,Eukarya,Opisthokonta,Animalia,Chordata,Appendicularia
TARA_AOS_82_MAG_00178,Group_02,Eukarya,Alveolata,Chromista,Ciliophora,Oligotrichea
TARA_AOS_82_MAG_00179,Group_01,Eukarya,Opisthokonta,Animalia,Arthropoda,Hexanauplia
TARA_AOS_82_MAG_00180,Group_01,Eukarya,Opisthokonta,Animalia,Arthropoda,Hexanauplia
TARA_AOS_82_MAG_00181,Group_04,Eukarya,Archaeplastida,Plantae,Chlorophyta,Mamiellophyceae
TARA_AOS_82_MAG_00182,Group_06,Eukarya,Haptista,Chromista,Haptophyta,Prymnesiophyceae
TARA_AOS_82_MAG_00183,Group_06,Eukarya,Haptista,Chromista,Haptophyta,Prymnesiophyceae
TARA_AOS_82_MAG_00184,Group_06,Eukarya,Haptista,Chromista,Haptophyta,Prymnesiophyceae
TARA_AOS_82_MAG_00185,Group_06,Eukarya,Stramenopiles,Chromista,Ochrophyta,Dictyochophyceae
TARA_AOS_82_MAG_00186,Group_04,Eukarya,Archaeplastida,Plantae,Chlorophyta,Mamiellophyceae
TARA_AOS_82_MAG_00188,Group_01,Eukarya,Opisthokonta,Animalia,Arthropoda,Hexanauplia
TARA_ARC_108_MAG_00063,Group_04,Eukarya,Archaeplastida,Plantae,Chlorophyta,Mamiellophyceae
TARA_ARC_108_MAG_00100,Group_04,Eukarya,Archaeplastida,Plantae,Chlorophyta,Mamiellophyceae
TARA_ARC_108_MAG_00108,Group_04,Eukarya,Stramenopiles,Chromista,Bacillariophyta,Mediophyceae
TARA_ARC_108_MAG_00116,Group_04,Eukarya,Stramenopiles,Chromista,Bacillariophyta,Mediophyceae
TARA_ARC_108_MAG_00122,Group_04,Eukarya,Stramenopiles,Chromista,Bacillariophyta,Bacillariophyceae
TARA_ARC_108_MAG_00123,Group_06,Eukarya,Stramenopiles,Chromista,Ochrophyta,Pelagophyceae
TARA_ARC_108_MAG_00137,Group_04,Eukarya,Stramenopiles,Chromista,Bacillariophyta,Bacillariophyceae
TARA_ARC_108_MAG_00138,Group_04,Eukarya,Stramenopiles,Chromista,Bacillariophyta,Mediophyceae
TARA_ARC_108_MAG_00147,Group_05,Eukarya,Stramenopiles,Chromista,Heterokontophyta,Oomycota
TARA_ARC_108_MAG_00165,Group_04,Eukarya,Stramenopiles,Chromista,Bacillariophyta,Bacillariophyceae
TARA_ARC_108_MAG_00187,Group_04,Eukarya,Stramenopiles,Chromista,Bacillariophyta,Bacillariophyceae
TARA_ARC_108_MAG_00188,Group_05,Eukarya,Stramenopiles,Chromista,MAST-4,New_MAST-4
TARA_ARC_108_MAG_00189,Group_04,Eukarya,Stramenopiles,Chromista,Bacillariophyta,Mediophyceae
TARA_ARC_108_MAG_00209,Group_04,Eukarya,Stramenopiles,Chromista,Bacillariophyta,Mediophyceae
TARA_ARC_108_MAG_00212,Group_04,Eukarya,Stramenopiles,Chromista,Bacillariophyta,Bacillariophyceae
TARA_ARC_108_MAG_00215,Group_05,Eukarya,Stramenopiles,Chromista,Ochrophyta,Chrysophyceae
TARA_ARC_108_MAG_00217,Group_04,Eukarya,Stramenopiles,Chromista,Bacillariophyta,Mediophyceae
TARA_ARC_108_MAG_00219,Group_04,Eukarya,Stramenopiles,Chromista,Bacillariophyta,Mediophyceae
TARA_ARC_108_MAG_00220,Group_05,Eukarya,Stramenopiles,Chromista,MAST-4,New_MAST-4
TARA_ARC_108_MAG_00221,Group_05,Eukarya,Stramenopiles,Chromista,Ochrophyta,Bolidophyceae
TARA_ARC_108_MAG_00222,Group_04,Eukarya,Stramenopiles,Chromista,Bacillariophyta,NA
TARA_ARC_108_MAG_00223,Group_03,Eukarya,Opisthokonta,Animalia,NA,NA
TARA_ARC_108_MAG_00224,Group_05,Eukarya,Stramenopiles,Chromista,Ochrophyta,Chrysophyceae
TARA_ARC_108_MAG_00225,Group_03,Eukarya,Opisthokonta,Animalia,Chordata,NA
TARA_ARC_108_MAG_00226,Group_03,Eukarya,Opisthokonta,Animalia,NA,NA
TARA_ARC_108_MAG_00227,Group_03,Eukarya,Opisthokonta,Animalia,NA,NA
TARA_ARC_108_MAG_00228,Group_04,Eukarya,Stramenopiles,Chromista,Bacillariophyta,Bacillariophyceae
TARA_ARC_108_MAG_00229,Group_01,Eukarya,Opisthokonta,Animalia,Arthropoda,Hexanauplia
TARA_ARC_108_MAG_00230,Group_04,Eukarya,Stramenopiles,Chromista,Bacillariophyta,Bacillariophyceae
TARA_ARC_108_MAG_00231,Group_03,Eukarya,Opisthokonta,Animalia,NA,NA
TARA_ARC_108_MAG_00232,Group_04,Eukarya,Stramenopiles,Chromista,Bacillariophyta,Mediophyceae
TARA_ARC_108_MAG_00233,Group_04,Eukarya,Archaeplastida,Plantae,Chlorophyta,Mamiellophyceae
TARA_ARC_108_MAG_00234,Group_05,Eukarya,Stramenopiles,Chromista,Ochrophyta,Chrysophyceae
TARA_ARC_108_MAG_00235,Group_05,Eukarya,Stramenopiles,Chromista,Heterokontophyta,Oomycota
TARA_ARC_108_MAG_00236,Group_04,Eukarya,Alveolata,Chromista,MALV-I,MALV-I
TARA_ARC_108_MAG_00237,Group_05,Eukarya,Stramenopiles,Chromista,Heterokontophyta,Oomycota
TARA_ARC_108_MAG_00238,Group_04,Eukarya,Stramenopiles,Chromista,Bacillariophyta,NA
TARA_ARC_108_MAG_00239,Group_04,Eukarya,Stramenopiles,Chromista,Bacillariophyta,Mediophyceae
TARA_ARC_108_MAG_00240,Group_05,Eukarya,Opisthokonta,Protozoa,Choanozoa,Choanoflagellatea
TARA_ARC_108_MAG_00241,Group_05,Eukarya,Stramenopiles,Chromista,Bigyra,Bikosea
TARA_ARC_108_MAG_00242,Group_03,Eukarya,Opisthokonta,Animalia,NA,NA
TARA_ARC_108_MAG_00243,Group_05,Eukarya,Stramenopiles,Chromista,MAST-4,New_MAST-4
TARA_ARC_108_MAG_00244,Group_06,Eukarya,Cryptista,Chromista,Cryptophyta,Cryptophyceae
TARA_ARC_108_MAG_00245,Group_05,Eukarya,Stramenopiles,Chromista,Bigyra,Bikosea
TARA_ARC_108_MAG_00246,Group_06,Eukarya,Haptista,Chromista,Haptophyta,Prymnesiophyceae
TARA_ARC_108_MAG_00247,Group_05,Eukarya,Opisthokonta,Protozoa,Choanozoa,Choanoflagellatea
TARA_ARC_108_MAG_00248,Group_06,Eukarya,Haptista,Chromista,Haptophyta,Prymnesiophyceae
TARA_ARC_108_MAG_00249,Group_01,Eukarya,Opisthokonta,Animalia,Arthropoda,Hexanauplia
TARA_ARC_108_MAG_00250,Group_05,Eukarya,Opisthokonta,Protozoa,Choanozoa,Choanoflagellatea
TARA_ARC_108_MAG_00251,Group_03,Eukarya,Opisthokonta,Animalia,NA,NA
TARA_ARC_108_MAG_00252,Group_04,Eukarya,Stramenopiles,Chromista,Bacillariophyta,Mediophyceae
TARA_ARC_108_MAG_00253,Group_04,Eukarya,Stramenopiles,Chromista,Bacillariophyta,Mediophyceae
TARA_ARC_108_MAG_00254,Group_03,Eukarya,Opisthokonta,Animalia,NA,NA
TARA_ARC_108_MAG_00255,Group_05,Eukarya,Opisthokonta,Protozoa,Choanozoa,Choanoflagellatea
TARA_ARC_108_MAG_00256,Group_06,Eukarya,Stramenopiles,Chromista,Ochrophyta,Dictyochophyceae
TARA_ARC_108_MAG_00257,Group_05,Eukarya,Opisthokonta,Protozoa,Choanozoa,Choanoflagellatea
TARA_ARC_108_MAG_00258,Group_01,Eukarya,Opisthokonta,Animalia,Arthropoda,Hexanauplia
TARA_ARC_108_MAG_00259,Group_06,Eukarya,Haptista,Chromista,Haptophyta,Prymnesiophyceae
TARA_ARC_108_MAG_00260,Group_05,Eukarya,Opisthokonta,Protozoa,Choanozoa,Choanoflagellatea
TARA_ARC_108_MAG_00261,Group_05,Eukarya,Stramenopiles,Chromista,Ochrophyta,Chrysophyceae
TARA_ARC_108_MAG_00262,Group_06,Eukarya,Stramenopiles,Chromista,Ochrophyta,Dictyochophyceae
TARA_ARC_108_MAG_00263,Group_06,Eukarya,Stramenopiles,Chromista,Ochrophyta,Pelagophyceae
TARA_ARC_108_MAG_00264,Group_04,Eukarya,Archaeplastida,Plantae,Chlorophyta,Mamiellophyceae
TARA_ARC_108_MAG_00265,Group_01,Eukarya,Opisthokonta,Animalia,Arthropoda,Hexanauplia
TARA_ARC_108_MAG_00266,Group_05,Eukarya,Stramenopiles,Chromista,Sister_MAST-4,Sister_MAST-4
TARA_ARC_108_MAG_00267,Group_04,Eukarya,Stramenopiles,Chromista,Bacillariophyta,Mediophyceae
TARA_ARC_108_MAG_00268,Group_06,Eukarya,Haptista,Chromista,Haptophyta,Prymnesiophyceae
TARA_ARC_108_MAG_00269,Group_04,Eukarya,Stramenopiles,Chromista,Bacillariophyta,Mediophyceae
TARA_ARC_108_MAG_00270,Group_01,Eukarya,Opisthokonta,Animalia,Arthropoda,Hexanauplia
TARA_ARC_108_MAG_00271,Group_03,Eukarya,Opisthokonta,Animalia,NA,NA
TARA_ARC_108_MAG_00272,Group_06,Eukarya,Stramenopiles,Chromista,Ochrophyta,Dictyochophyceae
TARA_ARC_108_MAG_00273,Group_02,Eukarya,Alveolata,Chromista,Ciliophora,Oligotrichea
TARA_ARC_108_MAG_00274,Group_02,Eukarya,Alveolata,Chromista,Ciliophora,Colpodea
TARA_ARC_108_MAG_00275,Group_06,Eukarya,Haptista,Chromista,Haptophyta,Prymnesiophyceae
TARA_ARC_108_MAG_00276,Group_04,Eukarya,Stramenopiles,Chromista,Bacillariophyta,Bacillariophyceae
TARA_ARC_108_MAG_00277,Group_02,Eukarya,Alveolata,Chromista,Ciliophora,Oligotrichea
TARA_ARC_108_MAG_00278,Group_05,Eukarya,Cryptista,Chromista,Sister_Cryptophyta,Sister_Cryptophyta
TARA_ARC_108_MAG_00279,Group_05,Eukarya,Cryptista,Chromista,Sister_Cryptophyta,Sister_Cryptophyta
